property,niche_ranking,University,State,Campus Life,Cost,Academic,Students,After College,Admissions,in_state_tuition,out_state_tuition,earning_two_years,earning_six_years,male_famle_rate,student_population,academics,athletics,dorms,student_life,campus,party,location,food,safety,engineering_subject,business_subject,computer_science_subject,art_subject,acceptance_rate,sat_scores,QS_overall,academic reputation,citation_per_faculty,employer_reputation,male,employment,from,to
Private,51,Bates College,ME,7,24956,51,1792,53500,22,50310,50310,37400,53500,49/51,1792,A+,B,A,A,A+,B-,C-,A+,B-,#N/A,#N/A,#N/A,35,22,1385-1460,66,75,70,71,49,94,1385,1460
Private,43,Colby College,ME,6.88,18908,43,2834,61500,23,51955,51955,39800,61500,45/55,2834,A+,B+,A,A,A-,B,B,B-,B-,#N/A,#N/A,90,36,23,1270-1460,66,75,70,71,45,92,1270,1460
Private,70,Smith College,MA,6.5,26318,70,2460,42700,38,47904,47904,33200,42700,0/100,2460,A+,A,A,A,A,B-,B,A-,B,121,#N/A,99,38,38,1240-1470,66,75,70,71,0,90,1240,1470
Private,67,Grinnell College,IA,6.13,28869,67,1665,45600,25,48758,48758,28500,45600,45/55,1665,A+,B-,A-,A,A-,B,C+,B,C,#N/A,#N/A,55,44,25,1300-1510,66,75,70,71,45,91,1300,1510
private,75,Lafayette College,PA,6.63,24993,75,2491,69800,30,49635,49635,47200,69800,51/49,2491,A+,B+,B,B+,A-,B+,C+,A,B-,55,#N/A,1018,45,30,1200-1380,66,75,70,71,51,95,1200,1380
Private,50,Northeastern University,MA,7.5,29779,67,13664,60100,28,47654,47654,48900,60100,50/50,13664,A+,B+,B-,A,A,A-,A,A,C+,28,14,28,46,28,1340-1510,33.9,75,40.1,35.1,50,95,1340,1510
private,95,Southern Methodist University,TX,8.25,36602,95,6160,52200,49,50358,50358,44200,52200,50/50,6160,A+,A+,B+,A,A,A+,A,B+,B-,56,27,59,48,49,1220-1410,66,75,70,71,50,94,1220,1410
private,86,Boston University,MA,7.63,32732,27,16585,60600,33,50240,50240,44600,60600,39/61,16585,A+,A-,C+,A,A-,A,A,A+,C+,63,34,82,61,33,1200-1410,67.2,71.3,59.8,78.5,39,93,1200,1410
Public,62,University of Florida,FL,8,14610,44,30168,51300,48,6381,28659,38500,51300,44/56,30168,A+,A+,B-,A+,A,A+,A-,B+,B-,36,39,70,62,48,1170-1350,49.8,58.6,39.2,37.5,44,93,1170,1350
Public,58,College of William & Mary,VA,5.75,14310,58,6217,56400,34,16370,37425,42600,56400,43/57,6217,A+,B+,C+,A,B,B-,C+,B-,B,#N/A,26,63,63,34,1260-1460,66,75,70,71,43,91,1260,1460
Public,40,University of North Carolina at Chapel Hill,NC,8.13,10785,26,17645,50400,31,8834,33916,38600,50400,41/59,17645,A+,A+,B-,A+,A,A+,A,A-,C+,87,19,34,64,31,1220-1430,67.8,77.5,61.5,48.1,41,93,1220,1430
Public,32,University of Virginia,VA,7.75,14539,43,15607,58600,30,16412,45756,44900,58600,45/55,15607,A+,A+,B,A+,A-,A+,A,C+,B-,37,16,31,65,30,1250-1460,50.3,47.7,53.3,49.2,45,92,1250,1460
Public,68,University of Georgia,GA,8.75,13280,79,25906,46500,53,9364,27574,36900,46500,43/57,25906,A,A+,B,A+,A+,A+,A+,A+,C+,122,17,86,68,53,1150-1330,66,30.7,36,71,43,92,1150,1330
public,82,University of California - Santa Barbara,CA,8,16211,36,20243,52000,33,14073,40755,34800,52000,47/53,20243,A,B+,B+,A+,A,A+,A-,A,C+,68,#N/A,73,69,33,1090-1360,56.9,75.7,97.5,71,47,91,1090,1360
Public,59,University of Wisconsin,WI,8.5,16060,21,28555,51000,58,10488,32738,40400,51000,47/53,28555,A,A+,B,A+,A,A+,A,A,B-,42,25,43,74,58,1190-1410,75.8,94,54.2,62.1,47,94,1190,1410
private,87,University of Miami,FL,7.38,35444,57,10459,52400,38,47004,47004,43200,52400,49/51,10459,A+,A+,C+,A+,B+,A+,A,C+,B-,80,29,96,77,38,1200-1390,41.2,75,46.5,71,49,91,1200,1390
private,84,Brigham Young University,UT,8.38,12900,84,27339,57400,48,5300,5300,37400,57400,53/47,27339,A+,A,A,A+,A+,C+,B+,A,A,59,37,78,78,48,1150-1360,66,75,70,71,53,76,1150,1360
public,92,University of Washington,WA,8.25,9744,22,28377,52100,53,10753,34791,41300,52100,47/53,28377,A,A+,B,A+,A,A,A,A-,B-,76,61,45,90,53,1120-1370,72.9,92.3,98.8,56.7,47,90,1120,1370
public,85,University of Minnesota - Twin Cities,MN,7.5,15371,40,29168,47800,45,14142,23806,38400,47800,48/52,29168,A+,A+,C+,A+,A-,A,A,B,C+,47,55,56,96,45,1180-1440,52.2,76.8,63.1,34.9,48,94,1180,1440
public,81,Penn State,PA,8.13,24992,30,39520,37500,51,17900,32382,37100,37500,53/47,39520,A,A+,C+,A+,A,A+,A,A-,B-,52,42,49,98,51,1090-1300,65.2,84.6,80.2,75.1,53,94,1090,1300
public,83,Ohio State University,OH,8.25,18502,28,41117,42600,49,10037,28299,33800,42600,52/48,41117,A+,A+,B-,A+,A,A+,A,A,C+,40,36,106,102,49,1170-1390,66.1,75.3,40.3,60.6,52,93,1170,1390
Public,39,Virginia Tech,VA,9,18398,70,24841,57900,73,12852,29975,44300,57900,57/43,24841,A,A+,B+,A+,A+,A,A,A+,B+,25,47,36,107,73,1100-1320,32.9,33.2,44.1,40.4,57,96,1100,1320
public,90,Michigan State University,MI,8.5,14601,39,35645,49800,66,14062,37890,38800,49800,49/51,35645,A,A+,B+,A+,A+,A+,A-,A,C+,94,63,76,116,66,980-1260,54.3,68.6,59.5,60.7,49,94,980,1260
public,96,University of Maryland - College Park,MD,7.25,14697,96,25410,59100,45,10181,32045,45600,59100,53/47,25410,A,A+,C,A+,B+,A+,B+,B,B-,57,46,42,140,45,1210-1420,66,75,70,71,53,92,1210,1420
Public,61,University of Illinois at Urbana-Champaign,IL,7.88,16841,24,31989,56600,66,15058,30680,42800,56600,56/44,31989,A+,A+,B-,A+,A,A+,B,A-,B-,19,48,17,443,66,1270-1470,70.3,95.1,93.5,59.8,56,94,1270,1470
public,77,Purdue University,IN,8.25,11643,32,28682,52600,59,10002,28804,40800,52600,58/42,28682,A,A+,B,A+,A,A,B,A+,B,23,74,47,445,59,1080-1330,63.2,73.7,58,70.7,58,94,1080,1330
public,100,Clemson University,SC,7.88,16622,100,17238,49400,51,14708,34590,37600,49400,53/47,17238,A,A+,B-,A+,A,A,A-,B+,B-,53,50,119,456,51,1150-1350,66,75,70,71,53,94,1150,1350
Private,55,Boston College,MA,6.75,26284,65,9541,67000,29,51296,51296,52600,67000,47/53,9541,A+,A+,C-,A,B-,A,A-,B-,B,#N/A,24,74,485,29,1260-1470,34.7,29.9,43.4,38.2,47,95,1260,1470
Private,16,University of Notre Dame,IN,8,26698,52,8450,69400,20,49685,49685,58700,69400,52/48,8450,A+,A+,A,A+,A+,A-,C+,A,C+,13,6,33,514,20,1350-1530,45.9,36.3,72,34.1,52,94,1350,1530
Private,3,Harvard University,MA,7.88,15742,3,7183,87200,6,47074,47074,72300,87200,53/47,7183,A+,B,A,A+,A,A-,A,B,B,8,#N/A,4,543,6,1400-1600,98.4,100,99.9,100,53,89,1400,1600
Private,24,Georgetown University,DC,6.63,26749,53,7175,83300,17,50547,50547,66000,83300,45/55,7175,A+,B+,C+,A+,B-,A,A,B-,C+,#N/A,4,29,544,17,1320-1500,43.8,41.8,27.5,53.2,45,92,1320,1500
