property,niche_ranking,name,location,in_state_tuition,out_state_tuition,earning_two_years,earning_six_years,male_famle_rate,student_population,net_price,academics,athletics,dorms,student_life,campus,party,location,food,safety,campus_life,engineering_subject,business_subject,computer_science_subject,art_subject,acceptance_rate,sat_scores,QS_ranking,QS_overall,academic reputation,citation_per_faculty,employer_reputation
Private,60,University of Rochester,NY,50142,50142,41800,55500,51/49,6046,"$33,682 ",A+,B-,B-,B+,B,B,C+,B-,B-,5.38,51,56,60,587,34,1250-1450,46,49.3,32.1,42.6,71
Private,4,Yale University,CT,49480,49480,60200,66000,51/49,5509,"$18,164 ",A+,A-,A+,A+,A+,A,B,A,C,8.13,7,#N/A,6,615,7,1430-1600,8,90.4,100,63.2,99.8
Private,37,Wake Forest University,NC,49308,49308,44400,61000,47/53,4807,"$24,929 ",A+,A+,B,A+,B+,A-,C+,B+,B-,7.13,#N/A,21,91,656,29,1270-1410,78,66,75,70,71
Private,15,Dartmouth College,NH,51438,51438,54400,67100,51/49,6819,"$21,348 ",A+,B+,B+,A-,A,B-,D+,A,B,6.50,31,#N/A,16,691,11,1330-1560,42,51.3,31.4,70.5,49.1
private,91,University of Tulsa,OK,40484,40484,36000,43200,58/42,3478,"$25,355 ",A+,A,A,A,A,B+,B,B+,B-,7.63,75,69,854,768,40,1130-1400,91,66,75,70,71
Private,52,University of Richmond,VA,49420,49420,44900,60800,47/53,3051,"$21,744 ",A+,A,A-,A+,A,A,B+,A,C,8.00,#N/A,11,67,810,31,1220-1420,52,66,75,70,71
Private,45,Colgate University,NY,51955,51955,39800,61500,45/55,2834,"$21,741 ",A+,B+,B-,A,B+,A,C+,C+,B+,6.50,#N/A,#N/A,84,827,27,1250-1450,45,66,75,70,71
Private,56,Wesleyan University,CT,50912,50912,34800,50900,46/54,2820,"$22,257 ",A+,B-,B+,A,A,B+,C+,A+,C+,6.88,#N/A,#N/A,64,828,22,1300-1480,56,66,75,70,71
private,74,College of the Holy Cross,MA,48940,48940,45600,63700,50/50,2698,"$24,728 ",A+,B+,B-,A,B+,B+,C+,B-,B-,6.13,#N/A,#N/A,#N/A,842,37,1230-1370,74,66,75,70,71
Private,28,Middlebury College,VT,50063,50063,44600,53400,47/53,2516,"$20,197 ",A+,B+,B+,A,A+,C+,D+,A+,B,6.75,#N/A,#N/A,66,870,17,1270-1500,28,66,75,70,71
Private,48,Wellesley College,MA,50840,50840,37500,56700,0/100,2344,"$22,138 ",A+,A,A-,A,A-,C-,D+,A-,A,5.63,720,#N/A,38,897,28,1290-1490,48,66,75,70,71
private,80,Franklin & Marshall College,PA,53280,54280,38800,54800,48/52,2217,"$23,092 ",A+,B-,B,A-,B+,B+,B,B+,C+,6.25,#N/A,54,1081,923,32,1200-1420,80,66,75,70,71
private,78,Macalester College,MN,50639,50639,228400,45700,39/61,2138,"$28,009 ",A+,B-,B,A,A-,B,A,A-,A-,7.38,#N/A,#N/A,87,929,39,1240-1470,78,66,75,70,71
Private,25,Carleton College,MN,50874,50874,35100,46100,49/51,1997,"$31,568 ",A+,B-,A-,A+,A-,B,B,B+,B,7.00,#N/A,#N/A,35,946,21,1320-1520,25,66,75,70,71
Private,57,Hamilton College,NY,51240,51240,36400,57300,49/51,1862,"$21,907 ",A+,B,B+,A,A-,B,C,B,B-,6.25,#N/A,#N/A,1150,975,25,1310-1470,57,66,75,70,71
Private,30,Washington & Lee University,VA,48267,48267,54900,77600,51/49,1851,"$21,379 ",A+,B-,A,A-,A-,A,B-,B-,B-,6.75,64,15,1152,979,24,1310-1470,30,66,75,70,71
Private,44,Davidson College,NC,48376,48376,40300,58500,50/50,1784,"$22,865 ",A+,B+,A,A,A-,B,B,B-,B-,6.88,#N/A,#N/A,#N/A,993,22,1260-1440,44,66,75,70,71
Private,18,Pomona College,CA,49352,49352,34600,53600,50/50,1651,"$18,423 ",A+,B-,A+,A+,A+,B,B+,A+,B,8.00,#N/A,#N/A,26,1018,10,1360-1530,18,66,75,70,71
Private,31,Swarthmore College,PA,49104,49104,34500,49400,50/50,1571,"$21,580 ",A+,B-,A-,A,B+,B-,B-,B,C+,6.13,48,#N/A,39,1029,12,1340-1530,31,66,75,70,71
Private,71,Bryn Mawr College,PA,48790,48790,38200,50400,0/100,1332,"$32,630 ",A+,A,A-,A,A+,B-,B,A+,B+,6.88,#N/A,#N/A,1305,1082,39,1240-1460,71,66,75,70,71
